keyword_id,value,dimension,description,value_en,value_ja
61,蔥油餅,food,以麵皮與蔥製作的煎製傳統小吃,Scallion Pancake,葱油餅（ツォンヨウビン）
62,排隊名店,theme,因知名度高而常需排隊等候的店家,Popular / Famous Store,行列の名店（ぎょうれつのめいてん）
63,手工現做,theme,強調現場手工製作的飲食特色,Handmade / Freshly Made,手作り（てづくり）
64,日式拉麵,food,源自日本、以湯頭與麵條為重點的麵食,Japanese Ramen,日本式ラーメン（にほんしきラーメン）
65,現炸美味,theme,現場油炸、口感酥脆的新鮮料理特色,Freshly Fried,揚げたて（あげたて）
66,春捲,food,以蔬菜或肉餡包裹後油炸的傳統小吃,Spring Roll,春巻き（はるまき）
67,石花凍,food,由海藻製成的清涼甜品或飲品,Jelly Dessert,石花ゼリー（せきかゼリー）
68,涼爽甜品,theme,口感清涼、適合消暑的甜點類型,Cool Dessert,ひんやりデザート
69,海藻飲品,food,以海藻為原料製成的飲品,Seaweed Drink,海藻ドリンク
70,芋頭冰,food,以芋頭為主要原料製作的冰品,Taro Ice,タロイモアイス
71,古早味冰品,food,採用傳統製法的懷舊冰品,Traditional Ice Dessert,昔ながらのアイス（むかしながらのアイス）
72,在地名店,theme,於當地具高知名度與口碑的店家,Local Famous Store,地元名店（じもとめいてん）
73,西點,food,以歐式手法製作的甜點或烘焙產品，如蛋糕、泡芙等,Western Pastry,洋菓子（ようがし）
74,在地烘焙,food,由當地烘焙坊製作，反映地方風味與特色,Local Bakery,地元ベーカリー
75,蔥燒餅,food,以蔥與麵粉製作的傳統中式烘焙點心,Scallion Bun,葱焼きパン
76,傳統烘焙,theme,採用傳統手法或食譜製作的烘焙品,Traditional Bakery,伝統的なベーカリー
77,奶酥吐司,food,以奶酥為內餡或塗抹的烘焙麵包,Butter Toast,バタートースト
78,人氣美食,theme,受到大眾歡迎，常被推薦的特色食物,Popular Cuisine,人気グルメ（にんきぐるめ）
79,創始店,theme,具有歷史或品牌起源意義的店家,Original Store,創業店（そうぎょうてん）
80,金棗,food,小型柑橘類水果，常用於甜品或加工製品,Kumquat,キンカン
81,伴手禮,theme,適合帶回贈送的特色商品,Souvenir,お土産（おみやげ）
82,在地特產,theme,當地生產或具有地方特色的產品,Local Specialty,地元特産（じもととくさん）
83,農特產品,food,由農業生產的特色產品，如水果、乾貨等,Agricultural Products,農産物（のうさんぶつ）
84,在地品牌,theme,當地知名品牌或生產者，具有特色或口碑,Local Brand,地元ブランド
85,肉鬆,food,將肉類加工製作成鬆軟可口的食品，常用於搭配飯或麵包,Pork Floss,肉そぼろ（にくそぼろ）
86,手工製作,theme,強調人工製作過程，保留手工特性與品質,Handmade,手作り（てづくり）
87,甜點,food,以糖、麵粉、乳製品或水果製作的餐後點心或休閒食品,Dessert,デザート
88,下午茶,activity,介於正餐之間的輕食或甜點用餐時段，多搭配咖啡、茶飲、西點或甜品，適合朋友聚會、放鬆休憩與拍照打卡,Afternoon Tea,アフタヌーンティー
89,輕食,food,份量較小、口味清爽的餐點或點心,Light Meal,軽食（けいしょく）
90,飲品,food,可飲用的冷熱飲料，包含咖啡、茶飲、果汁、冰飲與特色飲品,Drink,飲み物（のみもの）
91,簡餐,food,以主食搭配配菜組成的定食或套餐型餐點，份量適中、出餐快速,Set Meal / Light Meal,簡単食事（かんたんしょくじ）
